ig,events-3,alive_times-3,events-2,alive_times-2,events-1,alive_times-1
0,1,-1,1,-1,0,-1
0,1,-1,0,-1,1,-1
0,0,-1,1,-1,1,-1
0,1,-1,1,-1,0,-1
0,0,-1,1,-1,0,-1
0,1,-1,0,-1,1,-1
0,0,-1,0,-1,1,-1
0,1,-1,1,-1,0,-1
0,0,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,0,-1,1,-1,0,-1
0,0,-1,0,-1,1,-1
0,0,-1,0,-1,1,-1
0,0,-1,1,-1,1,-1
0,0,-1,1,-1,0,-1
0,1,-1,0,-1,1,-1
0,1,-1,0,-1,0,-1
0,0,-1,1,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,1,-1,1,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,1,-1,1,-1,0,-1
0,1,-1,1,-1,0,-1
0,1,-1,1,-1,1,-1
0,0,-1,0,-1,1,-1
0,1,-1,0,-1,0,-1
0,1,-1,0,-1,1,-1
0,1,-1,1,-1,1,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,0,-1,1,-1
0,1,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,0,-1,1,-1,0,-1
0,1,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
