T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
160.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
150.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
167.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
170.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
160.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
125.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,2
