ignore,events-1,alive_times-1,events-2,alive_times-2,events-3,alive_times-3
0,0,111,0,171,0,111
0,0,141,0,200,0,111
0,0,171,0,171,0,111
0,0,111,0,181,0,101
0,1,181,1,121,1,121
0,0,131,0,190,0,111
0,0,161,0,101,0,151
0,0,101,0,101,0,141
0,0,131,0,151,0,111
0,0,101,0,101,0,101
0,0,171,0,151,0,171
0,0,141,0,101,0,101
0,0,101,0,151,0,101
0,0,131,0,151,0,111
0,1,121,1,101,1,141
0,0,121,0,141,0,171
0,0,181,0,151,0,111
0,0,141,0,101,0,101
0,0,190,0,190,0,101
0,0,121,0,121,0,171
0,0,171,0,101,0,101
0,0,121,0,141,0,101
0,0,101,0,151,0,101
0,0,161,0,121,0,161
0,1,131,1,101,1,141
0,0,111,0,190,0,111
0,0,151,0,171,0,121
0,0,141,0,151,0,101
0,0,111,0,101,0,141
0,0,151,0,151,0,151
0,0,171,0,141,0,131
0,0,171,0,131,0,111
0,0,101,0,101,0,190
0,0,171,0,111,0,101
0,1,111,1,131,1,101
0,0,101,0,131,0,111
0,0,181,0,161,0,101
0,0,121,0,161,0,171
0,0,190,0,101,0,161
0,0,121,0,141,0,111
0,0,121,0,141,0,121
0,0,151,0,101,0,171
0,0,151,0,161,0,101
0,1,131,1,151,1,151
0,0,121,0,111,0,111
0,0,111,0,111,0,171
0,0,200,0,111,0,151
0,0,131,0,171,0,121
0,0,190,0,121,0,101
0,0,111,0,121,0,171
0,0,111,0,171,0,101
0,0,161,0,141,0,101
0,0,111,0,101,0,101
0,1,-1,1,-1,1,-1
0,0,-1,0,-1,0,-1
