T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
151.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
161.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
200.0,1.0,Baseline,random,Sides,50,True,0.8,1
181.0,1.0,Baseline,random,Sides,50,True,0.8,1
101.0,1.0,Baseline,random,Sides,50,True,0.8,1
151.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
171.0,1.0,Baseline,random,Sides,50,True,0.8,1
181.0,1.0,Baseline,random,Sides,50,True,0.8,1
190.0,1.0,Baseline,random,Sides,50,True,0.8,1
151.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
200.0,1.0,Baseline,random,Sides,50,True,0.8,1
142.0,1.0,Baseline,random,Sides,50,True,0.8,1
151.0,1.0,Baseline,random,Sides,50,True,0.8,1
101.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
141.0,1.0,Baseline,random,Sides,50,True,0.8,1
181.0,1.0,Baseline,random,Sides,50,True,0.8,1
101.0,1.0,Baseline,random,Sides,50,True,0.8,1
151.0,1.0,Baseline,random,Sides,50,True,0.8,1
168.0,1.0,Baseline,random,Sides,50,True,0.8,1
200.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
200.0,1.0,Baseline,random,Sides,50,True,0.8,1
111.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
101.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
141.0,1.0,Baseline,random,Sides,50,True,0.8,1
137.0,1.0,Baseline,random,Sides,50,True,0.8,1
121.0,1.0,Baseline,random,Sides,50,True,0.8,1
151.0,1.0,Baseline,random,Sides,50,True,0.8,1
190.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
200.0,1.0,Baseline,random,Sides,50,True,0.8,1
141.0,1.0,Baseline,random,Sides,50,True,0.8,1
101.0,1.0,Baseline,random,Sides,50,True,0.8,1
200.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
181.0,1.0,Baseline,random,Sides,50,True,0.8,1
111.0,1.0,Baseline,random,Sides,50,True,0.8,1
141.0,1.0,Baseline,random,Sides,50,True,0.8,1
131.0,1.0,Baseline,random,Sides,50,True,0.8,1
161.0,1.0,Baseline,random,Sides,50,True,0.8,1
