T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
101.0,1.0,Baseline,random,Sides,200,False,0.8,0
151.0,1.0,Baseline,random,Sides,200,False,0.8,0
161.0,1.0,Baseline,random,Sides,200,False,0.8,0
161.0,1.0,Baseline,random,Sides,200,False,0.8,0
121.0,1.0,Baseline,random,Sides,200,False,0.8,0
121.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
131.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
131.0,1.0,Baseline,random,Sides,200,False,0.8,0
171.0,1.0,Baseline,random,Sides,200,False,0.8,0
161.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
101.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
131.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
101.0,1.0,Baseline,random,Sides,200,False,0.8,0
121.0,1.0,Baseline,random,Sides,200,False,0.8,0
200.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
151.0,1.0,Baseline,random,Sides,200,False,0.8,0
171.0,1.0,Baseline,random,Sides,200,False,0.8,0
141.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
121.0,1.0,Baseline,random,Sides,200,False,0.8,0
137.0,1.0,Baseline,random,Sides,200,False,0.8,0
121.0,1.0,Baseline,random,Sides,200,False,0.8,0
101.0,1.0,Baseline,random,Sides,200,False,0.8,0
131.0,1.0,Baseline,random,Sides,200,False,0.8,0
161.0,1.0,Baseline,random,Sides,200,False,0.8,0
181.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
111.0,1.0,Baseline,random,Sides,200,False,0.8,0
