T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
115.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
193.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
172.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
172.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
229.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
229.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
172.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
229.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
229.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
200.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
172.0,1.0,Baseline,random,Sides,300,False,1,5
115.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
229.0,1.0,Baseline,random,Sides,300,False,1,5
221.0,1.0,Baseline,random,Sides,300,False,1,5
172.0,1.0,Baseline,random,Sides,300,False,1,5
143.0,1.0,Baseline,random,Sides,300,False,1,5
172.0,1.0,Baseline,random,Sides,300,False,1,5
