T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
143.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
400.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
465.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
143.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
200.0,1.0,Baseline,random,Sides,50,True,1,3
115.0,1.0,Baseline,random,Sides,50,True,1,3
229.0,1.0,Baseline,random,Sides,50,True,1,3
172.0,1.0,Baseline,random,Sides,50,True,1,3
